Retailer_State_Pair,Sample_Count,Optimal_Order_Up_To_Level
"[0, 0, 4, 5, 7]",541,209.2363
"[0, 0, 4, 5, 8]",42,205.9635
"[0, 0, 4, 5, 9]",1,201.9803
"[0, 0, 4, 6, 6]",663,207.8233
"[0, 0, 4, 6, 7]",300,209.3889
"[0, 0, 4, 6, 8]",35,207.1346
"[0, 0, 4, 6, 9]",2,201.6057
"[0, 0, 4, 7, 7]",41,208.9790
"[0, 0, 4, 7, 8]",7,202.6448
"[0, 0, 4, 7, 10]",1,204.3014
"[0, 0, 4, 8, 8]",2,259.3552
"[0, 0, 5, 5, 5]",633,208.4523
"[0, 0, 5, 5, 6]",1086,206.9838
"[0, 0, 5, 5, 7]",235,206.3545
"[0, 0, 5, 5, 8]",18,205.1129
"[0, 0, 5, 5, 9]",1,194.3936
"[0, 0, 5, 6, 6]",601,207.1609
"[0, 0, 5, 6, 7]",257,208.7351
"[0, 0, 5, 6, 8]",22,212.4237
"[0, 0, 5, 6, 9]",1,200.0679
"[0, 0, 5, 7, 7]",31,251.9793
"[0, 0, 5, 7, 8]",5,202.8570
"[0, 0, 6, 6, 6]",85,206.0308
"[0, 0, 6, 6, 7]",62,255.4535
"[0, 0, 6, 6, 8]",11,213.0651
"[0, 0, 6, 6, 10]",1,264.1942
"[0, 0, 6, 7, 7]",11,267.5065
"[0, 0, 6, 7, 8]",6,211.0713
"[0, 0, 6, 7, 9]",1,197.3370
"[0, 0, 7, 7, 7]",1,194.6827
"[0, 1, 1, 1, 1]",425,195.2194
"[0, 1, 1, 1, 2]",1650,200.8847
"[0, 1, 1, 1, 3]",1660,201.7609
"[0, 1, 1, 1, 4]",1683,203.0318
"[0, 1, 1, 1, 5]",1580,200.8119
"[0, 1, 1, 1, 6]",818,202.9662
"[0, 1, 1, 1, 7]",183,203.3777
"[0, 1, 1, 1, 8]",25,201.0219
"[0, 1, 1, 1, 9]",1,126.3465
"[0, 1, 1, 2, 2]",2583,252.1066
"[0, 1, 1, 2, 3]",5100,255.2551
"[0, 1, 1, 2, 4]",5045,255.3103
"[0, 1, 1, 2, 5]",4535,255.0112
"[0, 1, 1, 2, 6]",2545,255.5977
"[0, 1, 1, 2, 7]",585,256.6081
"[0, 1, 1, 2, 8]",55,259.4154
"[0, 1, 1, 2, 9]",4,197.9453
"[0, 1, 1, 3, 3]",2414,256.1225
"[0, 1, 1, 3, 4]",4884,255.6833
"[0, 1, 1, 3, 5]",4683,256.7254
"[0, 1, 1, 3, 6]",2532,257.1667
"[0, 1, 1, 3, 7]",576,258.9267
"[0, 1, 1, 3, 8]",61,257.5927
"[0, 1, 1, 3, 9]",3,257.0125
"[0, 1, 1, 4, 4]",2458,255.9171
"[0, 1, 1, 4, 5]",4779,257.2901
"[0, 1, 1, 4, 6]",2547,257.6519
"[0, 1, 1, 4, 7]",573,257.5612
"[0, 1, 1, 4, 8]",58,259.0517
"[0, 1, 1, 4, 9]",2,261.5612
"[0, 1, 1, 5, 5]",2133,256.8855
"[0, 1, 1, 5, 6]",2412,258.2767
"[0, 1, 1, 5, 7]",537,258.8257
"[0, 1, 1, 5, 8]",58,260.2565
"[0, 1, 1, 5, 9]",1,266.8218
"[0, 1, 1, 6, 6]",632,260.5812
"[0, 1, 1, 6, 7]",290,259.4994
"[0, 1, 1, 6, 8]",26,254.9895
"[0, 1, 1, 6, 9]",1,202.1754
"[0, 1, 1, 7, 7]",28,263.2329
"[0, 1, 1, 7, 8]",5,209.0797
"[0, 1, 1, 8, 8]",1,198.5415
"[0, 1, 2, 2, 2]",1663,261.0402
"[0, 1, 2, 2, 3]",5046,261.5496
"[0, 1, 2, 2, 4]",5030,261.8258
"[0, 1, 2, 2, 5]",4691,261.7090
"[0, 1, 2, 2, 6]",2560,262.4440
"[0, 1, 2, 2, 7]",605,263.3223
"[0, 1, 2, 2, 8]",54,264.1579
"[0, 1, 2, 2, 9]",3,264.7269
"[0, 1, 2, 3, 3]",5087,263.0666
"[0, 1, 2, 3, 4]",9954,262.9273
"[0, 1, 2, 3, 5]",9204,262.8096
"[0, 1, 2, 3, 6]",4883,263.7564
"[0, 1, 2, 3, 7]",1099,263.8332
"[0, 1, 2, 3, 8]",126,264.8767
"[0, 1, 2, 3, 9]",8,259.3788
"[0, 1, 2, 4, 4]",4979,262.8224
"[0, 1, 2, 4, 5]",9062,263.2170
"[0, 1, 2, 4, 6]",4961,263.8857
"[0, 1, 2, 4, 7]",1114,264.6700
"[0, 1, 2, 4, 8]",91,265.6883
"[0, 1, 2, 4, 9]",3,264.6058
"[0, 1, 2, 5, 5]",4178,262.5850
"[0, 1, 2, 5, 6]",4625,264.3333
"[0, 1, 2, 5, 7]",1008,264.7966
"[0, 1, 2, 5, 8]",123,264.7897
"[0, 1, 2, 5, 9]",5,266.4590
"[0, 1, 2, 6, 6]",1216,265.3679
"[0, 1, 2, 6, 7]",601,265.4097
"[0, 1, 2, 6, 8]",66,267.9080
"[0, 1, 2, 6, 9]",2,255.7004
"[0, 1, 2, 7, 7]",68,267.5302
"[0, 1, 2, 7, 8]",15,255.1181
"[0, 1, 3, 3, 3]",1639,263.5622
"[0, 1, 3, 3, 4]",4977,263.5956
"[0, 1, 3, 3, 5]",4583,264.1144
"[0, 1, 3, 3, 6]",2489,264.8448
"[0, 1, 3, 3, 7]",557,266.3442
"[0, 1, 3, 3, 8]",53,267.3230
"[0, 1, 3, 3, 10]",1,207.8605
"[0, 1, 3, 4, 4]",4957,263.7801
"[0, 1, 3, 4, 5]",9163,264.2734
"[0, 1, 3, 4, 6]",4893,265.1583
"[0, 1, 3, 4, 7]",1063,265.4764
"[0, 1, 3, 4, 8]",115,265.7356
"[0, 1, 3, 4, 9]",3,271.6518
"[0, 1, 3, 5, 5]",4174,264.5414
"[0, 1, 3, 5, 6]",4536,264.8815
"[0, 1, 3, 5, 7]",1034,265.1234
"[0, 1, 3, 5, 8]",111,265.8688
"[0, 1, 3, 5, 9]",7,208.5408
"[0, 1, 3, 6, 6]",1183,265.8699
"[0, 1, 3, 6, 7]",533,266.8156
"[0, 1, 3, 6, 8]",63,267.4892
"[0, 1, 3, 6, 9]",3,270.3620
"[0, 1, 3, 7, 7]",56,270.9060
"[0, 1, 3, 7, 8]",10,268.8080
"[0, 1, 3, 7, 9]",2,197.7352
"[0, 1, 3, 8, 8]",2,279.3752
"[0, 1, 4, 4, 4]",1663,263.8149
"[0, 1, 4, 4, 5]",4558,264.0942
"[0, 1, 4, 4, 6]",2477,264.9615
"[0, 1, 4, 4, 7]",578,266.0791
"[0, 1, 4, 4, 8]",53,269.0324
"[0, 1, 4, 4, 9]",4,269.7718
"[0, 1, 4, 5, 5]",4299,264.1492
"[0, 1, 4, 5, 6]",4566,265.2027
"[0, 1, 4, 5, 7]",978,266.8273
"[0, 1, 4, 5, 8]",99,263.5341
"[0, 1, 4, 5, 9]",9,252.7793
"[0, 1, 4, 5, 10]",1,203.4559
"[0, 1, 4, 6, 6]",1263,266.5622
"[0, 1, 4, 6, 7]",574,266.1791
"[0, 1, 4, 6, 8]",66,265.3992
"[0, 1, 4, 6, 9]",5,213.1001
"[0, 1, 4, 7, 7]",57,271.9328
"[0, 1, 4, 7, 8]",9,254.8127
"[0, 1, 4, 8, 8]",1,266.9686
"[0, 1, 5, 5, 5]",1305,263.9779
"[0, 1, 5, 5, 6]",2197,264.9147
"[0, 1, 5, 5, 7]",498,266.4195
"[0, 1, 5, 5, 8]",53,264.5469
"[0, 1, 5, 5, 9]",2,213.0598
"[0, 1, 5, 6, 6]",1139,266.3112
"[0, 1, 5, 6, 7]",539,267.3110
"[0, 1, 5, 6, 8]",52,265.1950
"[0, 1, 5, 7, 7]",61,267.8026
"[0, 1, 5, 7, 8]",7,321.7603
"[0, 1, 5, 8, 8]",2,272.1862
"[0, 1, 6, 6, 6]",208,268.0328
"[0, 1, 6, 6, 7]",143,267.0661
"[0, 1, 6, 6, 8]",17,269.5285
"[0, 1, 6, 7, 7]",32,267.8698
"[0, 1, 6, 7, 8]",7,270.6548
"[0, 1, 7, 7, 7]",2,266.5640
"[0, 1, 7, 7, 8]",1,200.3408
"[0, 1, 7, 8, 8]",1,267.2608
"[0, 2, 2, 2, 2]",425,265.7762
"[0, 2, 2, 2, 3]",1708,267.1025
"[0, 2, 2, 2, 4]",1731,266.9396
"[0, 2, 2, 2, 5]",1476,267.0378
"[0, 2, 2, 2, 6]",814,267.6632
"[0, 2, 2, 2, 7]",188,267.2546
"[0, 2, 2, 2, 8]",18,266.8533
"[0, 2, 2, 3, 3]",2573,267.5152
"[0, 2, 2, 3, 4]",4924,267.9975
"[0, 2, 2, 3, 5]",4577,268.3115
"[0, 2, 2, 3, 6]",2541,268.6488
"[0, 2, 2, 3, 7]",565,269.9815
"[0, 2, 2, 3, 8]",52,271.3689
"[0, 2, 2, 3, 9]",5,270.1791
"[0, 2, 2, 4, 4]",2378,266.9581
"[0, 2, 2, 4, 5]",4567,268.0649
"[0, 2, 2, 4, 6]",2426,269.0647
"[0, 2, 2, 4, 7]",556,269.3764
"[0, 2, 2, 4, 8]",68,269.3026
"[0, 2, 2, 4, 9]",5,269.1697
"[0, 2, 2, 5, 5]",2056,268.4896
"[0, 2, 2, 5, 6]",2320,269.1788
"[0, 2, 2, 5, 7]",474,270.4357
"[0, 2, 2, 5, 8]",47,268.2746
"[0, 2, 2, 5, 9]",1,265.3366
"[0, 2, 2, 6, 6]",623,269.3023
"[0, 2, 2, 6, 7]",294,271.1102
"[0, 2, 2, 6, 8]",27,271.0397
"[0, 2, 2, 6, 9]",3,272.5657
"[0, 2, 2, 7, 7]",37,270.8294
"[0, 2, 2, 7, 8]",6,278.4153
"[0, 2, 2, 7, 9]",1,263.9403
"[0, 2, 3, 3, 3]",1683,269.1112
"[0, 2, 3, 3, 4]",4978,268.8490
"[0, 2, 3, 3, 5]",4487,269.1488
"[0, 2, 3, 3, 6]",2543,269.4572
"[0, 2, 3, 3, 7]",551,270.4767
"[0, 2, 3, 3, 8]",60,267.0870
"[0, 2, 3, 3, 9]",2,264.7257
"[0, 2, 3, 4, 4]",5125,268.9151
"[0, 2, 3, 4, 5]",9073,269.2210
"[0, 2, 3, 4, 6]",5044,269.8722
"[0, 2, 3, 4, 7]",1063,270.9883
"[0, 2, 3, 4, 8]",122,271.4060
"[0, 2, 3, 4, 9]",9,270.2558
"[0, 2, 3, 4, 10]",1,211.7445
"[0, 2, 3, 5, 5]",4236,269.7011
"[0, 2, 3, 5, 6]",4524,270.1696
"[0, 2, 3, 5, 7]",1068,271.3104
"[0, 2, 3, 5, 8]",102,272.4824
"[0, 2, 3, 5, 9]",10,269.8837
"[0, 2, 3, 6, 6]",1201,270.2083
"[0, 2, 3, 6, 7]",573,270.2362
"[0, 2, 3, 6, 8]",63,271.5387
"[0, 2, 3, 6, 9]",2,276.5340
"[0, 2, 3, 6, 10]",1,264.9272
"[0, 2, 3, 7, 7]",69,272.0375
"[0, 2, 3, 7, 8]",18,275.0978
"[0, 2, 4, 4, 4]",1664,269.4534
"[0, 2, 4, 4, 5]",4548,269.3287
"[0, 2, 4, 4, 6]",2415,269.6966
"[0, 2, 4, 4, 7]",547,270.9323
"[0, 2, 4, 4, 8]",56,270.3425
"[0, 2, 4, 4, 9]",2,274.2486
"[0, 2, 4, 5, 5]",4206,269.4008
"[0, 2, 4, 5, 6]",4653,270.0862
"[0, 2, 4, 5, 7]",1085,271.0702
"[0, 2, 4, 5, 8]",123,272.7794
"[0, 2, 4, 5, 9]",5,271.6475
"[0, 2, 4, 6, 6]",1235,270.6904
"[0, 2, 4, 6, 7]",537,270.8720
"[0, 2, 4, 6, 8]",50,273.3601
"[0, 2, 4, 6, 9]",4,263.7599
"[0, 2, 4, 7, 7]",59,274.4792
"[0, 2, 4, 7, 8]",20,272.5587
"[0, 2, 5, 5, 5]",1255,269.9046
"[0, 2, 5, 5, 6]",1992,270.9229
"[0, 2, 5, 5, 7]",496,270.7258
"[0, 2, 5, 5, 8]",44,270.2758
"[0, 2, 5, 5, 9]",2,267.2645
"[0, 2, 5, 6, 6]",1125,270.7649
"[0, 2, 5, 6, 7]",517,271.1411
"[0, 2, 5, 6, 8]",43,271.0067
"[0, 2, 5, 6, 9]",5,272.1080
"[0, 2, 5, 7, 7]",62,272.7902
"[0, 2, 5, 7, 8]",11,272.5744
"[0, 2, 5, 7, 9]",2,275.0705
"[0, 2, 6, 6, 6]",161,271.1080
"[0, 2, 6, 6, 7]",141,272.2600
"[0, 2, 6, 6, 8]",22,271.1550
"[0, 2, 6, 6, 9]",1,279.5369
"[0, 2, 6, 7, 7]",29,275.7463
"[0, 2, 6, 7, 8]",10,273.5965
"[0, 2, 7, 7, 7]",2,268.3127
"[0, 3, 3, 3, 3]",401,271.2163
"[0, 3, 3, 3, 4]",1604,269.2672
"[0, 3, 3, 3, 5]",1522,269.7404
"[0, 3, 3, 3, 6]",852,269.4977
"[0, 3, 3, 3, 7]",187,272.5463
"[0, 3, 3, 3, 8]",17,267.1528
"[0, 3, 3, 3, 10]",1,200.5772
"[0, 3, 3, 4, 4]",2392,270.2179
"[0, 3, 3, 4, 5]",4515,270.0370
"[0, 3, 3, 4, 6]",2459,271.0472
"[0, 3, 3, 4, 7]",579,272.5006
"[0, 3, 3, 4, 8]",59,275.0242
"[0, 3, 3, 4, 9]",8,264.9681
"[0, 3, 3, 5, 5]",2151,270.7204
"[0, 3, 3, 5, 6]",2294,270.6851
"[0, 3, 3, 5, 7]",523,271.6265
"[0, 3, 3, 5, 8]",52,275.5619
"[0, 3, 3, 5, 9]",3,264.7891
"[0, 3, 3, 6, 6]",653,271.6487
"[0, 3, 3, 6, 7]",311,272.5866
"[0, 3, 3, 6, 8]",24,277.8218
"[0, 3, 3, 6, 9]",1,257.6185
"[0, 3, 3, 7, 7]",31,272.5200
"[0, 3, 3, 7, 8]",6,269.5091
"[0, 3, 3, 8, 8]",1,340.0483
"[0, 3, 4, 4, 4]",1709,270.3154
"[0, 3, 4, 4, 5]",4606,270.4402
"[0, 3, 4, 4, 6]",2513,270.8829
"[0, 3, 4, 4, 7]",598,271.9345
"[0, 3, 4, 4, 8]",52,270.4735
"[0, 3, 4, 4, 9]",2,258.1122
"[0, 3, 4, 5, 5]",4246,270.8015
"[0, 3, 4, 5, 6]",4601,271.1878
"[0, 3, 4, 5, 7]",1014,272.0860
"[0, 3, 4, 5, 8]",113,271.1120
"[0, 3, 4, 5, 9]",7,275.1461
"[0, 3, 4, 5, 10]",2,271.3193
"[0, 3, 4, 6, 6]",1228,272.7243
"[0, 3, 4, 6, 7]",533,272.0096
"[0, 3, 4, 6, 8]",66,272.4453
"[0, 3, 4, 6, 9]",3,329.9723
"[0, 3, 4, 7, 7]",65,275.9813
"[0, 3, 4, 7, 8]",9,277.1330
"[0, 3, 4, 8, 9]",1,269.5663
"[0, 3, 5, 5, 5]",1304,270.6105
"[0, 3, 5, 5, 6]",2113,271.9349
"[0, 3, 5, 5, 7]",500,271.6805
"[0, 3, 5, 5, 8]",58,271.2659
"[0, 3, 5, 5, 9]",2,261.1083
"[0, 3, 5, 6, 6]",1162,272.3075
"[0, 3, 5, 6, 7]",509,271.5559
"[0, 3, 5, 6, 8]",52,273.6899
"[0, 3, 5, 6, 9]",1,256.9773
"[0, 3, 5, 7, 7]",54,272.7699
"[0, 3, 5, 7, 8]",8,282.7990
"[0, 3, 6, 6, 6]",195,273.1270
"[0, 3, 6, 6, 7]",136,272.6517
"[0, 3, 6, 6, 8]",14,278.2476
"[0, 3, 6, 6, 9]",2,261.1388
"[0, 3, 6, 7, 7]",37,271.1819
"[0, 3, 6, 7, 8]",8,271.5847
"[0, 3, 7, 7, 7]",2,271.5712
"[0, 3, 7, 7, 8]",1,271.3015
"[0, 4, 4, 4, 4]",397,269.9400
"[0, 4, 4, 4, 5]",1560,270.7885
"[0, 4, 4, 4, 6]",812,271.1284
"[0, 4, 4, 4, 7]",197,274.0664
"[0, 4, 4, 4, 8]",14,271.4255
"[0, 4, 4, 4, 9]",1,257.1398
"[0, 4, 4, 5, 5]",2145,270.7397
"[0, 4, 4, 5, 6]",2329,271.3976
"[0, 4, 4, 5, 7]",538,271.0503
"[0, 4, 4, 5, 8]",51,272.8962
"[0, 4, 4, 5, 9]",4,266.6812
"[0, 4, 4, 5, 10]",1,263.3483
"[0, 4, 4, 6, 6]",611,272.1531
"[0, 4, 4, 6, 7]",303,274.0872
"[0, 4, 4, 6, 8]",22,273.8645
"[0, 4, 4, 6, 9]",1,328.2761
"[0, 4, 4, 7, 7]",40,275.1061
"[0, 4, 4, 7, 8]",9,273.7896
"[0, 4, 4, 7, 9]",2,264.0846
"[0, 4, 5, 5, 5]",1277,270.5207
"[0, 4, 5, 5, 6]",2203,271.3196
"[0, 4, 5, 5, 7]",466,272.5261
"[0, 4, 5, 5, 8]",60,271.1097
"[0, 4, 5, 5, 9]",5,275.3568
"[0, 4, 5, 6, 6]",1174,273.4425
"[0, 4, 5, 6, 7]",499,273.1834
"[0, 4, 5, 6, 8]",52,274.5666
"[0, 4, 5, 6, 9]",5,269.7999
"[0, 4, 5, 7, 7]",68,276.7000
"[0, 4, 5, 7, 8]",6,267.3445
"[0, 4, 5, 7, 9]",3,274.8558
"[0, 4, 5, 8, 8]",1,256.7293
"[0, 4, 6, 6, 6]",203,274.2484
"[0, 4, 6, 6, 7]",132,272.7635
"[0, 4, 6, 6, 8]",16,278.4154
"[0, 4, 6, 7, 7]",32,279.1114
"[0, 4, 6, 7, 8]",4,266.1943
"[0, 4, 6, 8, 8]",1,264.4505
"[0, 4, 7, 7, 7]",1,271.5766
"[0, 5, 5, 5, 5]",333,270.7716
"[0, 5, 5, 5, 6]",683,272.6381
"[0, 5, 5, 5, 7]",167,271.3997
"[0, 5, 5, 5, 8]",14,277.9956
"[0, 5, 5, 6, 6]",551,273.9518
"[0, 5, 5, 6, 7]",225,273.9652
"[0, 5, 5, 6, 8]",26,274.5338
"[0, 5, 5, 6, 9]",1,279.7273
"[0, 5, 5, 7, 7]",27,270.1205
"[0, 5, 5, 7, 8]",2,279.6414
"[0, 5, 5, 7, 9]",1,282.2663
"[0, 5, 5, 8, 8]",1,266.1233
"[0, 5, 6, 6, 6]",176,274.1264
"[0, 5, 6, 6, 7]",122,274.0545
"[0, 5, 6, 6, 8]",16,274.4216
"[0, 5, 6, 6, 9]",2,277.0112
"[0, 5, 6, 7, 7]",33,275.4794
"[0, 5, 6, 7, 8]",5,268.8248
"[0, 5, 7, 7, 7]",3,275.2504
"[0, 5, 7, 7, 8]",2,278.7474
"[0, 6, 6, 6, 6]",41,272.8975
"[0, 6, 6, 6, 7]",18,271.0749
"[0, 6, 6, 6, 8]",5,268.6139
"[0, 6, 6, 7, 7]",8,276.9399
"[0, 6, 6, 7, 8]",1,276.5186
"[0, 6, 7, 7, 7]",2,264.1892
"[0, 7, 7, 7, 7]",2,270.3401
"[1, 1, 1, 1, 1]",102,247.8623
"[1, 1, 1, 1, 2]",428,256.4843
"[1, 1, 1, 1, 3]",443,259.3651
"[1, 1, 1, 1, 4]",392,256.8461
"[1, 1, 1, 1, 5]",361,258.3029
"[1, 1, 1, 1, 6]",228,257.8708
"[1, 1, 1, 1, 7]",45,261.3083
"[1, 1, 1, 1, 8]",4,199.5639
"[1, 1, 1, 2, 2]",867,261.1827
"[1, 1, 1, 2, 3]",1731,264.4526
"[1, 1, 1, 2, 4]",1600,263.8955
"[1, 1, 1, 2, 5]",1530,264.9107
"[1, 1, 1, 2, 6]",855,265.6882
"[1, 1, 1, 2, 7]",196,265.8757
"[1, 1, 1, 2, 8]",27,263.2895
"[1, 1, 1, 2, 9]",1,195.1596
"[1, 1, 1, 3, 3]",811,265.0233
"[1, 1, 1, 3, 4]",1616,265.9246
"[1, 1, 1, 3, 5]",1508,266.6278
"[1, 1, 1, 3, 6]",899,265.0168
"[1, 1, 1, 3, 7]",195,264.1766
"[1, 1, 1, 3, 8]",24,260.6053
"[1, 1, 1, 3, 9]",1,214.7968
"[1, 1, 1, 4, 4]",862,266.2809
"[1, 1, 1, 4, 5]",1498,265.8659
"[1, 1, 1, 4, 6]",834,269.2401
"[1, 1, 1, 4, 7]",180,267.6624
