Retailer_State_Pair,Sample_Count,Optimal_Order_Up_To_Level
"[0, 0, 4, 4, 1]",107,0.0000
"[0, 0, 4, 4, 2]",87,0.0000
"[0, 0, 4, 4, 3]",99,39.5468
"[0, 0, 4, 4, 4]",107,0.0000
"[0, 0, 4, 4, 5]",83,164.9652
"[0, 0, 4, 4, 6]",46,188.7732
"[0, 0, 4, 4, 7]",4,264.6307
"[0, 0, 4, 5, 0]",83,84.2793
"[0, 0, 4, 5, 1]",93,83.6890
"[0, 0, 4, 5, 2]",93,84.2073
"[0, 0, 4, 5, 3]",98,83.6915
"[0, 0, 4, 5, 4]",91,86.2869
"[0, 0, 4, 5, 5]",68,237.4004
"[0, 0, 4, 5, 6]",35,256.3918
"[0, 0, 4, 5, 7]",1,170.5022
"[0, 0, 4, 6, 0]",46,91.4114
"[0, 0, 4, 6, 1]",48,89.9364
"[0, 0, 4, 6, 2]",45,90.2089
"[0, 0, 4, 6, 3]",41,90.1002
"[0, 0, 4, 6, 4]",47,91.9716
"[0, 0, 4, 6, 5]",37,253.3545
"[0, 0, 4, 6, 6]",20,264.2798
"[0, 0, 4, 6, 7]",2,257.0311
"[0, 0, 4, 7, 0]",6,89.0488
"[0, 0, 4, 7, 1]",8,91.6023
"[0, 0, 4, 7, 2]",15,120.7205
"[0, 0, 4, 7, 3]",5,91.4781
"[0, 0, 4, 7, 4]",9,126.0245
"[0, 0, 4, 7, 5]",9,250.3874
"[0, 0, 4, 7, 6]",2,290.4325
"[0, 0, 4, 8, 2]",3,135.7156
"[0, 0, 4, 8, 5]",1,244.9261
"[0, 0, 4, 8, 6]",1,275.4114
"[0, 0, 5, 0, 0]",67,42.4504
"[0, 0, 5, 0, 1]",79,41.1256
"[0, 0, 5, 0, 2]",93,42.9678
"[0, 0, 5, 0, 3]",101,42.2811
"[0, 0, 5, 0, 4]",88,42.0314
"[0, 0, 5, 0, 5]",87,175.8247
"[0, 0, 5, 0, 6]",27,214.8175
"[0, 0, 5, 0, 7]",4,212.4075
"[0, 0, 5, 1, 0]",83,41.6814
"[0, 0, 5, 1, 1]",73,43.2948
"[0, 0, 5, 1, 2]",95,40.9553
"[0, 0, 5, 1, 3]",94,42.9075
"[0, 0, 5, 1, 4]",84,41.9516
"[0, 0, 5, 1, 5]",84,177.8746
"[0, 0, 5, 1, 6]",46,209.8732
"[0, 0, 5, 1, 7]",1,223.7379
"[0, 0, 5, 2, 0]",92,43.5521
"[0, 0, 5, 2, 1]",70,40.9879
"[0, 0, 5, 2, 2]",97,41.4939
"[0, 0, 5, 2, 3]",85,40.1646
"[0, 0, 5, 2, 4]",81,41.0569
"[0, 0, 5, 2, 5]",95,194.3396
"[0, 0, 5, 2, 6]",36,215.5093
"[0, 0, 5, 2, 7]",4,220.1712
"[0, 0, 5, 3, 0]",69,42.8053
"[0, 0, 5, 3, 1]",92,41.6486
"[0, 0, 5, 3, 2]",83,41.9655
"[0, 0, 5, 3, 3]",79,41.6146
"[0, 0, 5, 3, 4]",64,42.2487
"[0, 0, 5, 3, 5]",69,199.1325
"[0, 0, 5, 3, 6]",48,219.4645
"[0, 0, 5, 3, 7]",4,218.6101
"[0, 0, 5, 4, 0]",81,41.9014
"[0, 0, 5, 4, 1]",77,42.7579
"[0, 0, 5, 4, 2]",79,44.9547
"[0, 0, 5, 4, 3]",74,42.4792
"[0, 0, 5, 4, 4]",84,44.3253
"[0, 0, 5, 4, 5]",83,202.3541
"[0, 0, 5, 4, 6]",46,211.5544
"[0, 0, 5, 4, 7]",3,217.9991
"[0, 0, 5, 5, 0]",75,87.9631
"[0, 0, 5, 5, 1]",90,90.8155
"[0, 0, 5, 5, 2]",77,87.9688
"[0, 0, 5, 5, 3]",93,118.4490
"[0, 0, 5, 5, 4]",83,88.0279
"[0, 0, 5, 5, 5]",61,242.6426
"[0, 0, 5, 5, 6]",35,265.6851
"[0, 0, 5, 5, 7]",1,200.3200
"[0, 0, 5, 6, 0]",37,123.9011
"[0, 0, 5, 6, 1]",46,124.4097
"[0, 0, 5, 6, 2]",40,124.7453
"[0, 0, 5, 6, 3]",47,125.1162
"[0, 0, 5, 6, 4]",44,127.9152
"[0, 0, 5, 6, 5]",44,269.3406
"[0, 0, 5, 6, 6]",17,276.9834
"[0, 0, 5, 6, 7]",3,308.3898
"[0, 0, 5, 7, 0]",11,125.2893
"[0, 0, 5, 7, 1]",2,134.4175
"[0, 0, 5, 7, 2]",8,136.0760
"[0, 0, 5, 7, 3]",9,128.3516
"[0, 0, 5, 7, 4]",8,121.4590
"[0, 0, 5, 7, 5]",8,284.3931
"[0, 0, 5, 7, 6]",4,304.4989
"[0, 0, 5, 7, 7]",1,275.0052
"[0, 0, 5, 8, 0]",1,131.5681
"[0, 0, 6, 0, 0]",41,42.6661
"[0, 0, 6, 0, 1]",47,44.1046
"[0, 0, 6, 0, 2]",47,43.5475
"[0, 0, 6, 0, 3]",44,43.3387
"[0, 0, 6, 0, 4]",44,44.7204
"[0, 0, 6, 0, 5]",46,205.2563
"[0, 0, 6, 0, 6]",20,213.4512
"[0, 0, 6, 1, 0]",44,44.0565
"[0, 0, 6, 1, 1]",56,44.8366
"[0, 0, 6, 1, 2]",40,44.3581
"[0, 0, 6, 1, 3]",45,43.7123
"[0, 0, 6, 1, 4]",50,44.5170
"[0, 0, 6, 1, 5]",48,205.3000
"[0, 0, 6, 1, 6]",34,217.0728
"[0, 0, 6, 2, 0]",43,45.2592
"[0, 0, 6, 2, 1]",38,44.4008
"[0, 0, 6, 2, 2]",52,44.2430
"[0, 0, 6, 2, 3]",40,44.9187
"[0, 0, 6, 2, 4]",48,43.9226
"[0, 0, 6, 2, 5]",58,206.4148
"[0, 0, 6, 2, 6]",26,214.4160
"[0, 0, 6, 2, 7]",2,217.9496
"[0, 0, 6, 3, 0]",45,44.2955
"[0, 0, 6, 3, 1]",37,44.5233
"[0, 0, 6, 3, 2]",51,44.1673
"[0, 0, 6, 3, 3]",53,44.5671
"[0, 0, 6, 3, 4]",48,44.8366
"[0, 0, 6, 3, 5]",44,202.6956
"[0, 0, 6, 3, 6]",27,218.8781
"[0, 0, 6, 3, 7]",1,205.8467
"[0, 0, 6, 4, 0]",62,44.8482
"[0, 0, 6, 4, 1]",41,44.0085
"[0, 0, 6, 4, 2]",36,44.4882
"[0, 0, 6, 4, 3]",53,45.0209
"[0, 0, 6, 4, 4]",49,44.7777
"[0, 0, 6, 4, 5]",41,201.5111
"[0, 0, 6, 4, 6]",25,217.8422
"[0, 0, 6, 4, 7]",2,225.5950
"[0, 0, 6, 5, 0]",42,126.0421
"[0, 0, 6, 5, 1]",52,121.6221
"[0, 0, 6, 5, 2]",55,123.8474
"[0, 0, 6, 5, 3]",36,87.8910
"[0, 0, 6, 5, 4]",52,120.5786
"[0, 0, 6, 5, 5]",52,238.4256
"[0, 0, 6, 5, 6]",21,256.7438
"[0, 0, 6, 6, 0]",31,133.0450
"[0, 0, 6, 6, 1]",32,129.2772
"[0, 0, 6, 6, 2]",26,131.5468
"[0, 0, 6, 6, 3]",23,129.0779
"[0, 0, 6, 6, 4]",23,125.6688
"[0, 0, 6, 6, 5]",28,296.9870
"[0, 0, 6, 6, 6]",13,301.5410
"[0, 0, 6, 7, 0]",6,125.6737
"[0, 0, 6, 7, 1]",4,132.6334
"[0, 0, 6, 7, 2]",6,129.8722
"[0, 0, 6, 7, 3]",3,120.6608
"[0, 0, 6, 7, 4]",4,139.4804
"[0, 0, 6, 7, 5]",4,289.8001
"[0, 0, 6, 7, 6]",2,302.4838
"[0, 0, 6, 7, 7]",1,267.2347
"[0, 0, 6, 8, 0]",1,85.4466
"[0, 0, 6, 8, 2]",1,79.9843
"[0, 0, 7, 0, 0]",13,43.6280
"[0, 0, 7, 0, 1]",10,44.9892
"[0, 0, 7, 0, 2]",14,45.2290
"[0, 0, 7, 0, 3]",14,46.2212
"[0, 0, 7, 0, 4]",15,43.1260
"[0, 0, 7, 0, 5]",10,201.4863
"[0, 0, 7, 0, 6]",8,227.1186
"[0, 0, 7, 1, 0]",13,44.2790
"[0, 0, 7, 1, 1]",19,44.0078
"[0, 0, 7, 1, 2]",9,48.4880
"[0, 0, 7, 1, 3]",21,44.7901
"[0, 0, 7, 1, 4]",17,45.1993
"[0, 0, 7, 1, 5]",20,207.0572
"[0, 0, 7, 1, 6]",8,216.3250
"[0, 0, 7, 2, 0]",18,45.0971
"[0, 0, 7, 2, 1]",12,44.0983
"[0, 0, 7, 2, 2]",20,45.2319
"[0, 0, 7, 2, 3]",14,45.2960
"[0, 0, 7, 2, 4]",14,44.5001
"[0, 0, 7, 2, 5]",12,210.3158
"[0, 0, 7, 2, 6]",2,219.5654
"[0, 0, 7, 2, 7]",1,215.7842
"[0, 0, 7, 3, 0]",13,44.0364
"[0, 0, 7, 3, 1]",19,47.0465
"[0, 0, 7, 3, 2]",12,48.6745
"[0, 0, 7, 3, 3]",12,45.9985
"[0, 0, 7, 3, 4]",13,47.0718
"[0, 0, 7, 3, 5]",6,203.3559
"[0, 0, 7, 3, 6]",7,220.2167
"[0, 0, 7, 4, 0]",13,44.7392
"[0, 0, 7, 4, 1]",11,46.8403
"[0, 0, 7, 4, 2]",12,42.4192
"[0, 0, 7, 4, 3]",14,46.0538
"[0, 0, 7, 4, 4]",14,45.2351
"[0, 0, 7, 4, 5]",19,207.9427
"[0, 0, 7, 4, 6]",11,214.4410
"[0, 0, 7, 5, 0]",18,125.7111
"[0, 0, 7, 5, 1]",15,121.3175
"[0, 0, 7, 5, 2]",13,128.9386
"[0, 0, 7, 5, 3]",16,126.2379
"[0, 0, 7, 5, 4]",10,123.9383
"[0, 0, 7, 5, 5]",15,281.9574
"[0, 0, 7, 5, 6]",8,296.4545
"[0, 0, 7, 6, 0]",7,133.5944
"[0, 0, 7, 6, 1]",6,95.1595
"[0, 0, 7, 6, 2]",8,128.3239
"[0, 0, 7, 6, 3]",9,134.3764
"[0, 0, 7, 6, 4]",9,126.7276
"[0, 0, 7, 6, 5]",9,295.1622
"[0, 0, 7, 6, 6]",2,299.1198
"[0, 0, 7, 7, 0]",2,120.6210
"[0, 0, 7, 7, 3]",1,124.3239
"[0, 0, 7, 7, 6]",1,139.6422
"[0, 0, 7, 8, 3]",2,126.3712
"[0, 0, 8, 0, 0]",2,44.3679
"[0, 0, 8, 0, 1]",4,45.9502
"[0, 0, 8, 0, 2]",2,49.2008
"[0, 0, 8, 0, 3]",2,40.2239
"[0, 0, 8, 0, 4]",2,42.0803
"[0, 0, 8, 0, 5]",3,225.3843
"[0, 0, 8, 1, 0]",4,42.8375
"[0, 0, 8, 1, 1]",2,45.7358
"[0, 0, 8, 1, 2]",5,45.1021
"[0, 0, 8, 1, 3]",3,45.3896
"[0, 0, 8, 1, 5]",2,205.9960
"[0, 0, 8, 1, 6]",1,198.8683
"[0, 0, 8, 2, 0]",2,47.7953
"[0, 0, 8, 2, 1]",2,43.9366
"[0, 0, 8, 2, 2]",4,44.3073
"[0, 0, 8, 2, 3]",2,45.9610
"[0, 0, 8, 2, 4]",5,41.8614
"[0, 0, 8, 2, 5]",1,46.8637
"[0, 0, 8, 2, 6]",1,224.2455
"[0, 0, 8, 3, 0]",3,44.3873
"[0, 0, 8, 3, 1]",2,43.9310
"[0, 0, 8, 3, 2]",7,45.0930
"[0, 0, 8, 3, 3]",1,0.0000
"[0, 0, 8, 3, 4]",6,44.2343
"[0, 0, 8, 3, 6]",1,206.8891
"[0, 0, 8, 4, 0]",3,46.6830
"[0, 0, 8, 4, 1]",4,42.5289
"[0, 0, 8, 4, 2]",1,40.1208
"[0, 0, 8, 4, 3]",5,43.4779
"[0, 0, 8, 4, 4]",4,43.3009
"[0, 0, 8, 4, 5]",1,204.3421
"[0, 0, 8, 5, 0]",4,48.3779
"[0, 0, 8, 5, 1]",2,48.3272
"[0, 0, 8, 5, 2]",6,45.6156
"[0, 0, 8, 5, 4]",1,139.4024
"[0, 0, 8, 5, 5]",2,128.8188
"[0, 0, 8, 5, 7]",1,206.7834
"[0, 0, 8, 6, 1]",3,130.5835
"[0, 0, 8, 6, 2]",2,127.3715
"[0, 0, 8, 6, 3]",2,136.6693
"[0, 0, 8, 6, 4]",2,125.9654
"[0, 0, 8, 6, 5]",2,279.4693
"[0, 0, 8, 7, 0]",1,47.8641
"[0, 0, 8, 7, 5]",1,279.8196
"[0, 0, 9, 0, 0]",1,41.7580
"[0, 0, 9, 0, 4]",1,41.7787
"[0, 0, 9, 1, 2]",1,46.8980
"[0, 0, 9, 1, 6]",1,212.1080
"[0, 0, 9, 2, 4]",1,42.4129
"[0, 0, 9, 2, 6]",1,224.5669
"[0, 0, 9, 3, 6]",1,229.0063
"[0, 0, 9, 4, 3]",1,40.5066
"[0, 0, 9, 4, 5]",1,40.1515
"[0, 0, 9, 5, 2]",1,43.0708
"[0, 0, 9, 5, 3]",1,43.1304
"[0, 0, 10, 3, 5]",1,164.7126
"[0, 1, 0, 0, 0]",77,0.0000
"[0, 1, 0, 0, 1]",90,0.0000
"[0, 1, 0, 0, 2]",92,0.0000
"[0, 1, 0, 0, 3]",112,0.0000
"[0, 1, 0, 0, 4]",87,0.0000
"[0, 1, 0, 0, 5]",94,164.0531
"[0, 1, 0, 0, 6]",44,179.3457
"[0, 1, 0, 0, 7]",1,173.3410
"[0, 1, 0, 1, 0]",79,0.0000
"[0, 1, 0, 1, 1]",79,0.0000
"[0, 1, 0, 1, 2]",100,0.0000
"[0, 1, 0, 1, 3]",83,0.0000
"[0, 1, 0, 1, 4]",113,0.0000
"[0, 1, 0, 1, 5]",89,165.0065
"[0, 1, 0, 1, 6]",45,177.2084
"[0, 1, 0, 1, 7]",4,179.0550
"[0, 1, 0, 2, 0]",92,0.0000
